Simulation,Format,Player,Wins
50,FFA_Round0,NapoleonBlownapart,2.0
50,FFA_Round0,PRO_BCTV,8.0
50,FFA_Round0,StarDoM,4.0
50,FFA_Round0,[Stud]Lovish,2.0
50,FFA_Round0,[HypE]RupeDogg,1.0
50,FFA_Round0,TM_8D,1.0
50,FFA_Round0,Darth_Revan,9.0
50,FFA_Round0,Blodir,5.0
51,FFA_Round0,NapoleonBlownapart,1.0
51,FFA_Round0,PRO_BCTV,4.0
51,FFA_Round0,StarDoM,1.0
51,FFA_Round0,[Stud]Lovish,1.0
51,FFA_Round0,[HypE]RupeDogg,5.0
51,FFA_Round0,TM_8D,5.0
51,FFA_Round0,Darth_Revan,8.0
51,FFA_Round0,Blodir,7.0
52,FFA_Round0,NapoleonBlownapart,1.0
52,FFA_Round0,PRO_BCTV,3.0
52,FFA_Round0,StarDoM,2.0
52,FFA_Round0,[Stud]Lovish,4.0
52,FFA_Round0,[HypE]RupeDogg,5.0
52,FFA_Round0,TM_8D,6.0
52,FFA_Round0,Darth_Revan,6.0
52,FFA_Round0,Blodir,5.0
53,FFA_Round0,NapoleonBlownapart,0.0
53,FFA_Round0,PRO_BCTV,4.0
53,FFA_Round0,StarDoM,4.0
53,FFA_Round0,[Stud]Lovish,6.0
53,FFA_Round0,[HypE]RupeDogg,1.0
53,FFA_Round0,TM_8D,5.0
53,FFA_Round0,Darth_Revan,5.0
53,FFA_Round0,Blodir,7.0
54,FFA_Round0,NapoleonBlownapart,0.0
54,FFA_Round0,PRO_BCTV,6.0
54,FFA_Round0,StarDoM,8.0
54,FFA_Round0,[Stud]Lovish,2.0
54,FFA_Round0,[HypE]RupeDogg,4.0
54,FFA_Round0,TM_8D,2.0
54,FFA_Round0,Darth_Revan,2.0
54,FFA_Round0,Blodir,8.0
55,FFA_Round0,NapoleonBlownapart,0.0
55,FFA_Round0,PRO_BCTV,4.0
55,FFA_Round0,StarDoM,8.0
55,FFA_Round0,[Stud]Lovish,3.0
55,FFA_Round0,[HypE]RupeDogg,2.0
55,FFA_Round0,TM_8D,5.0
55,FFA_Round0,Darth_Revan,5.0
55,FFA_Round0,Blodir,5.0
56,FFA_Round0,NapoleonBlownapart,3.0
56,FFA_Round0,PRO_BCTV,4.0
56,FFA_Round0,StarDoM,1.0
56,FFA_Round0,[Stud]Lovish,6.0
56,FFA_Round0,[HypE]RupeDogg,3.0
56,FFA_Round0,TM_8D,2.0
56,FFA_Round0,Darth_Revan,4.0
56,FFA_Round0,Blodir,9.0
57,FFA_Round0,NapoleonBlownapart,0.0
57,FFA_Round0,PRO_BCTV,7.0
57,FFA_Round0,StarDoM,7.0
57,FFA_Round0,[Stud]Lovish,2.0
57,FFA_Round0,[HypE]RupeDogg,5.0
57,FFA_Round0,TM_8D,2.0
57,FFA_Round0,Darth_Revan,7.0
57,FFA_Round0,Blodir,2.0
58,FFA_Round0,NapoleonBlownapart,5.0
58,FFA_Round0,PRO_BCTV,8.0
58,FFA_Round0,StarDoM,0.0
58,FFA_Round0,[Stud]Lovish,2.0
58,FFA_Round0,[HypE]RupeDogg,4.0
58,FFA_Round0,TM_8D,3.0
58,FFA_Round0,Darth_Revan,4.0
58,FFA_Round0,Blodir,6.0
59,FFA_Round0,NapoleonBlownapart,2.0
59,FFA_Round0,PRO_BCTV,5.0
59,FFA_Round0,StarDoM,3.0
59,FFA_Round0,[Stud]Lovish,5.0
59,FFA_Round0,[HypE]RupeDogg,0.0
59,FFA_Round0,TM_8D,2.0
59,FFA_Round0,Darth_Revan,8.0
59,FFA_Round0,Blodir,7.0
60,FFA_Round0,NapoleonBlownapart,1.0
60,FFA_Round0,PRO_BCTV,4.0
60,FFA_Round0,StarDoM,8.0
60,FFA_Round0,[Stud]Lovish,3.0
60,FFA_Round0,[HypE]RupeDogg,0.0
60,FFA_Round0,TM_8D,6.0
60,FFA_Round0,Darth_Revan,4.0
60,FFA_Round0,Blodir,6.0
61,FFA_Round0,NapoleonBlownapart,1.0
61,FFA_Round0,PRO_BCTV,8.0
61,FFA_Round0,StarDoM,7.0
61,FFA_Round0,[Stud]Lovish,1.0
61,FFA_Round0,[HypE]RupeDogg,1.0
61,FFA_Round0,TM_8D,3.0
61,FFA_Round0,Darth_Revan,6.0
61,FFA_Round0,Blodir,5.0
62,FFA_Round0,NapoleonBlownapart,0.0
62,FFA_Round0,PRO_BCTV,7.0
62,FFA_Round0,StarDoM,3.0
62,FFA_Round0,[Stud]Lovish,3.0
62,FFA_Round0,[HypE]RupeDogg,6.0
62,FFA_Round0,TM_8D,4.0
62,FFA_Round0,Darth_Revan,3.0
62,FFA_Round0,Blodir,6.0
63,FFA_Round0,NapoleonBlownapart,2.0
63,FFA_Round0,PRO_BCTV,9.0
63,FFA_Round0,StarDoM,5.0
63,FFA_Round0,[Stud]Lovish,9.0
63,FFA_Round0,[HypE]RupeDogg,1.0
63,FFA_Round0,TM_8D,2.0
63,FFA_Round0,Darth_Revan,1.0
63,FFA_Round0,Blodir,3.0
64,FFA_Round0,NapoleonBlownapart,0.0
64,FFA_Round0,PRO_BCTV,5.0
64,FFA_Round0,StarDoM,2.0
64,FFA_Round0,[Stud]Lovish,4.0
64,FFA_Round0,[HypE]RupeDogg,6.0
64,FFA_Round0,TM_8D,3.0
64,FFA_Round0,Darth_Revan,9.0
64,FFA_Round0,Blodir,3.0
65,FFA_Round0,NapoleonBlownapart,2.0
65,FFA_Round0,PRO_BCTV,3.0
65,FFA_Round0,StarDoM,2.0
65,FFA_Round0,[Stud]Lovish,3.0
65,FFA_Round0,[HypE]RupeDogg,2.0
65,FFA_Round0,TM_8D,8.0
65,FFA_Round0,Darth_Revan,7.0
65,FFA_Round0,Blodir,5.0
66,FFA_Round0,NapoleonBlownapart,4.0
66,FFA_Round0,PRO_BCTV,5.0
66,FFA_Round0,StarDoM,1.0
66,FFA_Round0,[Stud]Lovish,3.0
66,FFA_Round0,[HypE]RupeDogg,0.0
66,FFA_Round0,TM_8D,2.0
66,FFA_Round0,Darth_Revan,10.0
66,FFA_Round0,Blodir,7.0
67,FFA_Round0,NapoleonBlownapart,4.0
67,FFA_Round0,PRO_BCTV,4.0
67,FFA_Round0,StarDoM,3.0
67,FFA_Round0,[Stud]Lovish,3.0
67,FFA_Round0,[HypE]RupeDogg,5.0
67,FFA_Round0,TM_8D,3.0
67,FFA_Round0,Darth_Revan,3.0
67,FFA_Round0,Blodir,7.0
68,FFA_Round0,NapoleonBlownapart,1.0
68,FFA_Round0,PRO_BCTV,3.0
68,FFA_Round0,StarDoM,8.0
68,FFA_Round0,[Stud]Lovish,1.0
68,FFA_Round0,[HypE]RupeDogg,4.0
68,FFA_Round0,TM_8D,6.0
68,FFA_Round0,Darth_Revan,8.0
68,FFA_Round0,Blodir,1.0
69,FFA_Round0,NapoleonBlownapart,4.0
69,FFA_Round0,PRO_BCTV,4.0
69,FFA_Round0,StarDoM,3.0
69,FFA_Round0,[Stud]Lovish,4.0
69,FFA_Round0,[HypE]RupeDogg,0.0
69,FFA_Round0,TM_8D,4.0
69,FFA_Round0,Darth_Revan,6.0
69,FFA_Round0,Blodir,7.0
70,FFA_Round0,NapoleonBlownapart,2.0
70,FFA_Round0,PRO_BCTV,2.0
70,FFA_Round0,StarDoM,7.0
70,FFA_Round0,[Stud]Lovish,3.0
70,FFA_Round0,[HypE]RupeDogg,0.0
70,FFA_Round0,TM_8D,7.0
70,FFA_Round0,Darth_Revan,6.0
70,FFA_Round0,Blodir,5.0
71,FFA_Round0,NapoleonBlownapart,2.0
71,FFA_Round0,PRO_BCTV,5.0
71,FFA_Round0,StarDoM,4.0
71,FFA_Round0,[Stud]Lovish,0.0
71,FFA_Round0,[HypE]RupeDogg,2.0
71,FFA_Round0,TM_8D,4.0
71,FFA_Round0,Darth_Revan,8.0
71,FFA_Round0,Blodir,7.0
72,FFA_Round0,NapoleonBlownapart,3.0
72,FFA_Round0,PRO_BCTV,1.0
72,FFA_Round0,StarDoM,7.0
72,FFA_Round0,[Stud]Lovish,1.0
72,FFA_Round0,[HypE]RupeDogg,5.0
72,FFA_Round0,TM_8D,6.0
72,FFA_Round0,Darth_Revan,4.0
72,FFA_Round0,Blodir,5.0
73,FFA_Round0,NapoleonBlownapart,2.0
73,FFA_Round0,PRO_BCTV,1.0
73,FFA_Round0,StarDoM,4.0
73,FFA_Round0,[Stud]Lovish,0.0
